[2024-06-28 21:42:20,414] INFO [Broker id=0] Add 53 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 6 with correlation id 2 (state.change.logger)
[2024-06-28 21:44:10,158] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2024-06-28 22:14:58,365] INFO [Controller id=0 epoch=7] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-06-28 22:14:58,426] INFO [Controller id=0 epoch=7] Sending LeaderAndIsr request to broker 0 with 53 become-leader and 0 become-follower partitions (state.change.logger)
[2024-06-28 22:14:58,431] INFO [Controller id=0 epoch=7] Sending UpdateMetadata request to brokers HashSet(0) for 53 partitions (state.change.logger)
[2024-06-28 22:14:58,968] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 53 partitions (state.change.logger)
[2024-06-28 22:14:59,005] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 7 as part of the become-leader transition for 53 partitions (state.change.logger)
[2024-06-28 22:14:59,031] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,063] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,087] INFO [Broker id=0] Leader location_update_topic-0 with topic id Some(ebIdHRdzT3S19ZNsjjNfsQ) starts at leader epoch 0 from offset 100000 with partition epoch 0, high watermark 100000, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,088] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,112] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,168] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,229] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,263] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,294] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,330] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,362] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,397] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,397] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,430] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,463] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,494] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,527] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,559] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,589] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,620] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,647] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 22:14:59,679] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
